id,contrat_id,client_id,date_emission,date_echeance,montant_brut,montant_net,statut,date_encaissement
PRM00055,POL0006,CLT002,2026-01-16,2026-02-16,820,779,encaissée,2026-01-24
PRM00056,POL0006,CLT002,2026-02-16,2026-03-16,820,779,encaissée,2026-03-02
PRM00057,POL0006,CLT002,2026-03-16,2026-04-16,820,779,encaissée,2026-03-26
PRM00058,POL0006,CLT002,2026-04-16,2026-05-16,820,779,encaissée,2026-04-27
PRM00059,POL0007,CLT003,2025-05-14,2025-06-14,158,150,encaissée,2025-05-15
PRM00060,POL0007,CLT003,2025-06-14,2025-07-14,158,150,encaissée,2025-06-29
PRM00061,POL0007,CLT003,2025-07-14,2025-08-14,158,150,encaissée,2025-07-26
PRM00062,POL0007,CLT003,2025-08-14,2025-09-14,158,150,encaissée,2025-08-25
PRM00063,POL0007,CLT003,2025-09-14,2025-10-14,158,150,encaissée,2025-09-23
PRM00064,POL0007,CLT003,2025-10-14,2025-11-14,158,150,encaissée,2025-10-16
PRM00065,POL0007,CLT003,2025-11-14,2025-12-14,158,150,encaissée,2025-11-29
PRM00066,POL0007,CLT003,2025-12-14,2026-01-14,158,150,encaissée,2025-12-21
PRM00067,POL0007,CLT003,2026-01-14,2026-02-14,158,150,encaissée,2026-01-29
PRM00068,POL0007,CLT003,2026-02-14,2026-03-14,158,150,encaissée,2026-02-17
PRM00069,POL0007,CLT003,2026-03-14,2026-04-14,158,150,encaissée,2026-03-25
PRM00070,POL0007,CLT003,2026-04-14,2026-05-14,158,150,encaissée,2026-04-25
PRM00071,POL0008,CLT003,2026-03-21,2026-04-21,853,810,encaissée,2026-04-05
PRM00072,POL0008,CLT003,2026-04-21,2026-05-21,853,810,encaissée,2026-05-02
PRM00073,POL0009,CLT003,2025-09-05,2025-10-05,330,314,encaissée,2025-09-11
PRM00074,POL0009,CLT003,2025-10-05,2025-11-05,330,314,encaissée,2025-10-14
PRM00075,POL0009,CLT003,2025-11-05,2025-12-05,330,314,encaissée,2025-11-19
PRM00076,POL0009,CLT003,2025-12-05,2026-01-05,330,314,encaissée,2025-12-07
PRM00077,POL0009,CLT003,2026-01-05,2026-02-05,330,314,encaissée,2026-01-19
PRM00078,POL0009,CLT003,2026-02-05,2026-03-05,330,314,encaissée,2026-02-15
PRM00079,POL0009,CLT003,2026-03-05,2026-04-05,330,314,encaissée,2026-03-13
PRM00080,POL0009,CLT003,2026-04-05,2026-05-05,330,314,encaissée,2026-04-15
PRM00081,POL0010,CLT003,2024-06-21,2024-07-21,295,280,encaissée,2024-07-05
PRM00082,POL0010,CLT003,2024-07-21,2024-08-21,295,280,encaissée,2024-07-28
PRM00083,POL0010,CLT003,2024-08-21,2024-09-21,295,280,encaissée,2024-09-05
PRM00084,POL0010,CLT003,2024-09-21,2024-10-21,295,280,encaissée,2024-09-26
PRM00085,POL0010,CLT003,2024-10-21,2024-11-21,295,280,encaissée,2024-10-29
PRM00086,POL0010,CLT003,2024-11-21,2024-12-21,295,280,encaissée,2024-12-06
PRM00087,POL0010,CLT003,2024-12-21,2025-01-21,295,280,encaissée,2024-12-24
PRM00088,POL0010,CLT003,2025-01-21,2025-02-21,295,280,encaissée,2025-01-22
PRM00089,POL0010,CLT003,2025-02-21,2025-03-21,295,280,encaissée,2025-03-01
PRM00090,POL0010,CLT003,2025-03-21,2025-04-21,295,280,encaissée,2025-03-23
PRM00091,POL0010,CLT003,2025-04-21,2025-05-21,295,280,encaissée,2025-05-01
PRM00092,POL0010,CLT003,2025-05-21,2025-06-21,295,280,encaissée,2025-05-28
PRM00093,POL0010,CLT003,2025-06-21,2025-07-21,295,280,encaissée,2025-07-04
PRM00094,POL0010,CLT003,2025-07-21,2025-08-21,295,280,encaissée,2025-08-05
PRM00095,POL0010,CLT003,2025-08-21,2025-09-21,295,280,encaissée,2025-08-28
PRM00096,POL0010,CLT003,2025-09-21,2025-10-21,295,280,encaissée,2025-10-02
PRM00097,POL0010,CLT003,2025-10-21,2025-11-21,295,280,encaissée,2025-10-29
PRM00098,POL0010,CLT003,2025-11-21,2025-12-21,295,280,encaissée,2025-12-02
PRM00099,POL0010,CLT003,2025-12-21,2026-01-21,295,280,encaissée,2026-01-03
PRM00100,POL0010,CLT003,2026-01-21,2026-02-21,295,280,encaissée,2026-02-03
PRM00101,POL0010,CLT003,2026-02-21,2026-03-21,295,280,encaissée,2026-03-06
PRM00102,POL0010,CLT003,2026-03-21,2026-04-21,295,280,encaissée,2026-04-03
PRM00103,POL0010,CLT003,2026-04-21,2026-05-21,295,280,encaissée,2026-04-27
PRM00104,POL0011,CLT003,2025-05-06,2025-06-06,1091,1036,encaissée,2025-05-13
PRM00105,POL0011,CLT003,2025-06-06,2025-07-06,1091,1036,encaissée,2025-06-15
PRM00106,POL0011,CLT003,2025-07-06,2025-08-06,1091,1036,encaissée,2025-07-17
PRM00107,POL0011,CLT003,2025-08-06,2025-09-06,1091,1036,encaissée,2025-08-11
PRM00108,POL0011,CLT003,2025-09-06,2025-10-06,1091,1036,encaissée,2025-09-17
PRM00109,POL0011,CLT003,2025-10-06,2025-11-06,1091,1036,encaissée,2025-10-09
PRM00110,POL0011,CLT003,2025-11-06,2025-12-06,1091,1036,encaissée,2025-11-08
PRM00111,POL0011,CLT003,2025-12-06,2026-01-06,1091,1036,encaissée,2025-12-08
PRM00112,POL0011,CLT003,2026-01-06,2026-02-06,1091,1036,encaissée,2026-01-17
PRM00113,POL0011,CLT003,2026-02-06,2026-03-06,1091,1036,encaissée,2026-02-07
PRM00114,POL0011,CLT003,2026-03-06,2026-04-06,1091,1036,encaissée,2026-03-14
PRM00115,POL0011,CLT003,2026-04-06,2026-05-06,1091,1036,encaissée,2026-04-20
PRM00116,POL0012,CLT004,2025-09-05,2025-10-05,1235,1173,encaissée,2025-09-17
PRM00117,POL0012,CLT004,2025-10-05,2025-11-05,1235,1173,encaissée,2025-10-13
PRM00118,POL0012,CLT004,2025-11-05,2025-12-05,1235,1173,encaissée,2025-11-08
PRM00119,POL0012,CLT004,2025-12-05,2026-01-05,1235,1173,encaissée,2025-12-09
PRM00120,POL0012,CLT004,2026-01-05,2026-02-05,1235,1173,encaissée,2026-01-15
PRM00121,POL0012,CLT004,2026-02-05,2026-03-05,1235,1173,encaissée,2026-02-18
PRM00122,POL0012,CLT004,2026-03-05,2026-04-05,1235,1173,encaissée,2026-03-06
PRM00123,POL0012,CLT004,2026-04-05,2026-05-05,1235,1173,encaissée,2026-04-16
PRM00124,POL0013,CLT004,2025-06-20,2025-07-20,189,180,encaissée,2025-07-01
PRM00125,POL0013,CLT004,2025-07-20,2025-08-20,189,180,encaissée,2025-07-28
PRM00126,POL0013,CLT004,2025-08-20,2025-09-20,189,180,encaissée,2025-08-31
PRM00127,POL0013,CLT004,2025-09-20,2025-10-20,189,180,encaissée,2025-10-04
PRM00128,POL0013,CLT004,2025-10-20,2025-11-20,189,180,encaissée,2025-11-04
PRM00129,POL0013,CLT004,2025-11-20,2025-12-20,189,180,encaissée,2025-11-22
PRM00130,POL0013,CLT004,2025-12-20,2026-01-20,189,180,encaissée,2026-01-04
PRM00131,POL0013,CLT004,2026-01-20,2026-02-20,189,180,encaissée,2026-02-01
PRM00132,POL0013,CLT004,2026-02-20,2026-03-20,189,180,encaissée,2026-03-02
PRM00133,POL0013,CLT004,2026-03-20,2026-04-20,189,180,encaissée,2026-03-24
PRM00134,POL0013,CLT004,2026-04-20,2026-05-20,189,180,encaissée,2026-05-02
PRM00135,POL0014,CLT005,2025-02-16,2025-03-16,1677,1593,encaissée,2025-02-17
PRM00136,POL0014,CLT005,2025-03-16,2025-04-16,1677,1593,encaissée,2025-03-30
PRM00137,POL0014,CLT005,2025-04-16,2025-05-16,1677,1593,encaissée,2025-05-01
PRM00138,POL0014,CLT005,2025-05-16,2025-06-16,1677,1593,encaissée,2025-05-24
PRM00139,POL0014,CLT005,2025-06-16,2025-07-16,1677,1593,encaissée,2025-06-19
PRM00140,POL0014,CLT005,2025-07-16,2025-08-16,1677,1593,encaissée,2025-07-17
PRM00141,POL0014,CLT005,2025-08-16,2025-09-16,1677,1593,encaissée,2025-08-28
PRM00142,POL0014,CLT005,2025-09-16,2025-10-16,1677,1593,encaissée,2025-09-30
PRM00143,POL0014,CLT005,2025-10-16,2025-11-16,1677,1593,encaissée,2025-10-19
PRM00144,POL0014,CLT005,2025-11-16,2025-12-16,1677,1593,encaissée,2025-11-29
PRM00145,POL0014,CLT005,2025-12-16,2026-01-16,1677,1593,encaissée,2025-12-29
PRM00146,POL0014,CLT005,2026-01-16,2026-02-16,1677,1593,encaissée,2026-01-24
PRM00147,POL0014,CLT005,2026-02-16,2026-03-16,1677,1593,encaissée,2026-02-20
PRM00148,POL0014,CLT005,2026-03-16,2026-04-16,1677,1593,encaissée,2026-03-27
PRM00149,POL0014,CLT005,2026-04-16,2026-05-16,1677,1593,encaissée,2026-04-17
PRM00150,POL0015,CLT005,2024-10-20,2024-11-20,1455,1382,encaissée,2024-10-31
PRM00151,POL0015,CLT005,2024-11-20,2024-12-20,1455,1382,encaissée,2024-12-02
PRM00152,POL0015,CLT005,2024-12-20,2025-01-20,1455,1382,encaissée,2024-12-22
PRM00153,POL0015,CLT005,2025-01-20,2025-02-20,1455,1382,encaissée,2025-01-22
PRM00154,POL0015,CLT005,2025-02-20,2025-03-20,1455,1382,encaissée,2025-02-24
PRM00155,POL0015,CLT005,2025-03-20,2025-04-20,1455,1382,encaissée,2025-03-21
PRM00156,POL0015,CLT005,2025-04-20,2025-05-20,1455,1382,encaissée,2025-04-22
PRM00157,POL0015,CLT005,2025-05-20,2025-06-20,1455,1382,encaissée,2025-06-02
PRM00158,POL0015,CLT005,2025-06-20,2025-07-20,1455,1382,encaissée,2025-06-21
PRM00159,POL0015,CLT005,2025-07-20,2025-08-20,1455,1382,encaissée,2025-07-30
PRM00160,POL0015,CLT005,2025-08-20,2025-09-20,1455,1382,encaissée,2025-09-04
PRM00161,POL0015,CLT005,2025-09-20,2025-10-20,1455,1382,encaissée,2025-09-29
PRM00162,POL0015,CLT005,2025-10-20,2025-11-20,1455,1382,encaissée,2025-10-31
PRM00163,POL0015,CLT005,2025-11-20,2025-12-20,1455,1382,encaissée,2025-11-27
PRM00164,POL0015,CLT005,2025-12-20,2026-01-20,1455,1382,encaissée,2025-12-21
PRM00165,POL0015,CLT005,2026-01-20,2026-02-20,1455,1382,encaissée,2026-01-31
PRM00166,POL0015,CLT005,2026-02-20,2026-03-20,1455,1382,encaissée,2026-03-05
PRM00167,POL0015,CLT005,2026-03-20,2026-04-20,1455,1382,encaissée,2026-03-21
PRM00168,POL0015,CLT005,2026-04-20,2026-05-20,1455,1382,encaissée,2026-04-23
PRM00169,POL0016,CLT005,2025-04-16,2025-05-16,708,673,encaissée,2025-04-19
PRM00170,POL0016,CLT005,2025-05-16,2025-06-16,708,673,encaissée,2025-05-18
PRM00171,POL0016,CLT005,2025-06-16,2025-07-16,708,673,encaissée,2025-06-20
PRM00172,POL0016,CLT005,2025-07-16,2025-08-16,708,673,encaissée,2025-07-21
PRM00173,POL0016,CLT005,2025-08-16,2025-09-16,708,673,encaissée,2025-08-31
PRM00174,POL0016,CLT005,2025-09-16,2025-10-16,708,673,encaissée,2025-09-29
PRM00175,POL0016,CLT005,2025-10-16,2025-11-16,708,673,encaissée,2025-10-27
PRM00176,POL0016,CLT005,2025-11-16,2025-12-16,708,673,encaissée,2025-11-20
PRM00177,POL0016,CLT005,2025-12-16,2026-01-16,708,673,encaissée,2025-12-25
PRM00178,POL0016,CLT005,2026-01-16,2026-02-16,708,673,encaissée,2026-01-27
PRM00179,POL0016,CLT005,2026-02-16,2026-03-16,708,673,encaissée,2026-02-19
PRM00180,POL0016,CLT005,2026-03-16,2026-04-16,708,673,encaissée,2026-03-19
PRM00181,POL0016,CLT005,2026-04-16,2026-05-16,708,673,encaissée,2026-04-20
PRM00182,POL0017,CLT005,2026-03-02,2026-04-02,1694,1609,encaissée,2026-03-13
PRM00183,POL0017,CLT005,2026-04-02,2026-05-02,1694,1609,encaissée,2026-04-15
PRM00184,POL0017,CLT005,2026-05-02,2026-06-02,1694,1609,encaissée,2026-05-09
PRM00185,POL0018,CLT005,2025-05-18,2025-06-18,837,795,encaissée,2025-05-28
PRM00186,POL0018,CLT005,2025-06-18,2025-07-18,837,795,encaissée,2025-06-29
PRM00187,POL0018,CLT005,2025-07-18,2025-08-18,837,795,encaissée,2025-07-21
PRM00188,POL0018,CLT005,2025-08-18,2025-09-18,837,795,encaissée,2025-08-31
PRM00189,POL0018,CLT005,2025-09-18,2025-10-18,837,795,encaissée,2025-09-25
PRM00190,POL0018,CLT005,2025-10-18,2025-11-18,837,795,encaissée,2025-10-22
PRM00191,POL0018,CLT005,2025-11-18,2025-12-18,837,795,encaissée,2025-11-26
PRM00192,POL0018,CLT005,2025-12-18,2026-01-18,837,795,encaissée,2025-12-29
PRM00193,POL0018,CLT005,2026-01-18,2026-02-18,837,795,encaissée,2026-01-28
PRM00194,POL0018,CLT005,2026-02-18,2026-03-18,837,795,encaissée,2026-03-05
PRM00195,POL0018,CLT005,2026-03-18,2026-04-18,837,795,encaissée,2026-03-31
PRM00196,POL0018,CLT005,2026-04-18,2026-05-18,837,795,encaissée,2026-04-21
PRM00197,POL0019,CLT006,2025-01-03,2025-02-03,1315,1249,encaissée,2025-01-04
PRM00198,POL0019,CLT006,2025-02-03,2025-03-03,1315,1249,encaissée,2025-02-08
PRM00199,POL0019,CLT006,2025-03-03,2025-04-03,1315,1249,encaissée,2025-03-06
PRM00200,POL0019,CLT006,2025-04-03,2025-05-03,1315,1249,encaissée,2025-04-14
PRM00201,POL0019,CLT006,2025-05-03,2025-06-03,1315,1249,encaissée,2025-05-16
PRM00202,POL0019,CLT006,2025-06-03,2025-07-03,1315,1249,encaissée,2025-06-11
PRM00203,POL0019,CLT006,2025-07-03,2025-08-03,1315,1249,encaissée,2025-07-10
PRM00204,POL0019,CLT006,2025-08-03,2025-09-03,1315,1249,encaissée,2025-08-18
PRM00205,POL0019,CLT006,2025-09-03,2025-10-03,1315,1249,encaissée,2025-09-10
PRM00206,POL0019,CLT006,2025-10-03,2025-11-03,1315,1249,encaissée,2025-10-12
PRM00207,POL0019,CLT006,2025-11-03,2025-12-03,1315,1249,encaissée,2025-11-06
PRM00208,POL0019,CLT006,2025-12-03,2026-01-03,1315,1249,encaissée,2025-12-13
PRM00209,POL0019,CLT006,2026-01-03,2026-02-03,1315,1249,encaissée,2026-01-06
PRM00210,POL0019,CLT006,2026-02-03,2026-03-03,1315,1249,encaissée,2026-02-14
PRM00211,POL0019,CLT006,2026-03-03,2026-04-03,1315,1249,encaissée,2026-03-06
PRM00212,POL0019,CLT006,2026-04-03,2026-05-03,1315,1249,encaissée,2026-04-16
PRM00213,POL0020,CLT006,2024-07-31,2024-08-31,1809,1719,encaissée,2024-08-13
PRM00214,POL0020,CLT006,2024-08-31,2024-10-01,1809,1719,encaissée,2024-09-02
PRM00215,POL0020,CLT006,2024-10-01,2024-11-01,1809,1719,encaissée,2024-10-12
PRM00216,POL0020,CLT006,2024-10-31,2024-12-01,1809,1719,encaissée,2024-11-07
PRM00217,POL0020,CLT006,2024-12-01,2025-01-01,1809,1719,encaissée,2024-12-12
PRM00218,POL0020,CLT006,2024-12-31,2025-01-31,1809,1719,encaissée,2025-01-14
PRM00219,POL0020,CLT006,2025-01-31,2025-03-03,1809,1719,encaissée,2025-02-01
PRM00220,POL0020,CLT006,2025-03-03,2025-04-03,1809,1719,encaissée,2025-03-14
PRM00221,POL0020,CLT006,2025-03-31,2025-05-01,1809,1719,encaissée,2025-04-07
PRM00222,POL0020,CLT006,2025-05-01,2025-06-01,1809,1719,encaissée,2025-05-08
PRM00223,POL0020,CLT006,2025-05-31,2025-07-01,1809,1719,encaissée,2025-06-04
PRM00224,POL0020,CLT006,2025-07-01,2025-08-01,1809,1719,encaissée,2025-07-09
PRM00225,POL0020,CLT006,2025-07-31,2025-08-31,1809,1719,encaissée,2025-08-11
PRM00226,POL0020,CLT006,2025-08-31,2025-10-01,1809,1719,encaissée,2025-09-01
PRM00227,POL0020,CLT006,2025-10-01,2025-11-01,1809,1719,encaissée,2025-10-15
PRM00228,POL0020,CLT006,2025-10-31,2025-12-01,1809,1719,encaissée,2025-11-14
PRM00229,POL0020,CLT006,2025-12-01,2026-01-01,1809,1719,encaissée,2025-12-09
PRM00230,POL0020,CLT006,2025-12-31,2026-01-31,1809,1719,encaissée,2026-01-14
PRM00231,POL0020,CLT006,2026-01-31,2026-03-03,1809,1719,encaissée,2026-02-02
PRM00232,POL0020,CLT006,2026-03-03,2026-04-03,1809,1719,encaissée,2026-03-16
PRM00233,POL0020,CLT006,2026-03-31,2026-05-01,1809,1719,encaissée,2026-04-07
PRM00234,POL0020,CLT006,2026-05-01,2026-06-01,1809,1719,encaissée,2026-05-15
PRM00235,POL0021,CLT006,2024-06-28,2024-07-28,1067,1014,encaissée,2024-07-02
PRM00236,POL0021,CLT006,2024-07-28,2024-08-28,1067,1014,encaissée,2024-08-05
PRM00237,POL0021,CLT006,2024-08-28,2024-09-28,1067,1014,encaissée,2024-09-07
PRM00238,POL0021,CLT006,2024-09-28,2024-10-28,1067,1014,encaissée,2024-09-30
PRM00239,POL0021,CLT006,2024-10-28,2024-11-28,1067,1014,encaissée,2024-11-09
PRM00240,POL0021,CLT006,2024-11-28,2024-12-28,1067,1014,encaissée,2024-11-30
PRM00241,POL0021,CLT006,2024-12-28,2025-01-28,1067,1014,encaissée,2025-01-03
PRM00242,POL0021,CLT006,2025-01-28,2025-02-28,1067,1014,encaissée,2025-02-05
PRM00243,POL0021,CLT006,2025-02-28,2025-03-28,1067,1014,encaissée,2025-03-13
PRM00244,POL0021,CLT006,2025-03-28,2025-04-28,1067,1014,encaissée,2025-04-11
PRM00245,POL0021,CLT006,2025-04-28,2025-05-28,1067,1014,encaissée,2025-04-29
PRM00246,POL0021,CLT006,2025-05-28,2025-06-28,1067,1014,encaissée,2025-06-01
PRM00247,POL0021,CLT006,2025-06-28,2025-07-28,1067,1014,encaissée,2025-07-10
PRM00248,POL0021,CLT006,2025-07-28,2025-08-28,1067,1014,encaissée,2025-08-04
PRM00249,POL0021,CLT006,2025-08-28,2025-09-28,1067,1014,encaissée,2025-08-31
PRM00250,POL0021,CLT006,2025-09-28,2025-10-28,1067,1014,encaissée,2025-10-11
PRM00251,POL0021,CLT006,2025-10-28,2025-11-28,1067,1014,encaissée,2025-10-29
PRM00252,POL0021,CLT006,2025-11-28,2025-12-28,1067,1014,encaissée,2025-12-11
PRM00253,POL0021,CLT006,2025-12-28,2026-01-28,1067,1014,encaissée,2025-12-30
PRM00254,POL0021,CLT006,2026-01-28,2026-02-28,1067,1014,encaissée,2026-02-09
PRM00255,POL0021,CLT006,2026-02-28,2026-03-28,1067,1014,encaissée,2026-03-06
PRM00256,POL0021,CLT006,2026-03-28,2026-04-28,1067,1014,encaissée,2026-04-08
PRM00257,POL0021,CLT006,2026-04-28,2026-05-28,1067,1014,encaissée,2026-05-08
PRM00258,POL0022,CLT006,2024-10-16,2024-11-16,95,90,encaissée,2024-10-25
PRM00259,POL0022,CLT006,2024-11-16,2024-12-16,95,90,encaissée,2024-11-24
PRM00260,POL0022,CLT006,2024-12-16,2025-01-16,95,90,encaissée,2024-12-20
PRM00261,POL0022,CLT006,2025-01-16,2025-02-16,95,90,encaissée,2025-01-26
PRM00262,POL0022,CLT006,2025-02-16,2025-03-16,95,90,encaissée,2025-02-19
PRM00263,POL0022,CLT006,2025-03-16,2025-04-16,95,90,encaissée,2025-03-26
PRM00264,POL0022,CLT006,2025-04-16,2025-05-16,95,90,encaissée,2025-04-24
PRM00265,POL0022,CLT006,2025-05-16,2025-06-16,95,90,encaissée,2025-05-23
PRM00266,POL0022,CLT006,2025-06-16,2025-07-16,95,90,encaissée,2025-06-30
PRM00267,POL0022,CLT006,2025-07-16,2025-08-16,95,90,encaissée,2025-07-22
PRM00268,POL0022,CLT006,2025-08-16,2025-09-16,95,90,encaissée,2025-08-19
PRM00269,POL0022,CLT006,2025-09-16,2025-10-16,95,90,encaissée,2025-09-27
PRM00270,POL0022,CLT006,2025-10-16,2025-11-16,95,90,encaissée,2025-10-17
PRM00271,POL0022,CLT006,2025-11-16,2025-12-16,95,90,encaissée,2025-11-23
PRM00272,POL0022,CLT006,2025-12-16,2026-01-16,95,90,encaissée,2025-12-17
PRM00273,POL0022,CLT006,2026-01-16,2026-02-16,95,90,encaissée,2026-01-27
PRM00274,POL0022,CLT006,2026-02-16,2026-03-16,95,90,encaissée,2026-02-28
PRM00275,POL0022,CLT006,2026-03-16,2026-04-16,95,90,encaissée,2026-03-27
PRM00276,POL0022,CLT006,2026-04-16,2026-05-16,95,90,encaissée,2026-04-18
PRM00277,POL0023,CLT006,2026-03-04,2026-04-04,1505,1430,encaissée,2026-03-09
PRM00278,POL0023,CLT006,2026-04-04,2026-05-04,1505,1430,encaissée,2026-04-11
PRM00279,POL0024,CLT007,2024-06-18,2024-07-18,1553,1475,encaissée,2024-06-23
PRM00280,POL0024,CLT007,2024-07-18,2024-08-18,1553,1475,encaissée,2024-07-20
PRM00281,POL0024,CLT007,2024-08-18,2024-09-18,1553,1475,encaissée,2024-09-01
PRM00282,POL0024,CLT007,2024-09-18,2024-10-18,1553,1475,encaissée,2024-09-29
PRM00283,POL0024,CLT007,2024-10-18,2024-11-18,1553,1475,encaissée,2024-11-02
PRM00284,POL0024,CLT007,2024-11-18,2024-12-18,1553,1475,encaissée,2024-11-30
PRM00285,POL0024,CLT007,2024-12-18,2025-01-18,1553,1475,encaissée,2024-12-22
PRM00286,POL0024,CLT007,2025-01-18,2025-02-18,1553,1475,encaissée,2025-01-27
PRM00287,POL0024,CLT007,2025-02-18,2025-03-18,1553,1475,encaissée,2025-02-27
PRM00288,POL0024,CLT007,2025-03-18,2025-04-18,1553,1475,encaissée,2025-04-02
PRM00289,POL0024,CLT007,2025-04-18,2025-05-18,1553,1475,encaissée,2025-04-29
PRM00290,POL0024,CLT007,2025-05-18,2025-06-18,1553,1475,encaissée,2025-05-25
PRM00291,POL0024,CLT007,2025-06-18,2025-07-18,1553,1475,encaissée,2025-06-23
PRM00292,POL0024,CLT007,2025-07-18,2025-08-18,1553,1475,encaissée,2025-07-27
PRM00293,POL0024,CLT007,2025-08-18,2025-09-18,1553,1475,encaissée,2025-08-23
PRM00294,POL0024,CLT007,2025-09-18,2025-10-18,1553,1475,encaissée,2025-10-02
PRM00295,POL0024,CLT007,2025-10-18,2025-11-18,1553,1475,encaissée,2025-10-26
