id,client_id,courtier_id,compagnie_id,compagnie_nom,numero_police,branche,statut,date_debut,date_echeance,periodicite,prime_annuelle,commission_taux,commission_annuelle,source
POL0084,CLT020,C003,CMP003,Helvetia,HEL-867267,RC_pro,actif,2026-01-13,2028-02-20,trimestriel,9241,11,1017,prospection
POL0085,CLT021,C003,CMP005,Generali,GEN-680061,transport,suspendu,2024-12-20,2026-12-19,annuel,13527,15,2029,site_web
POL0086,CLT021,C003,CMP006,Mobilière,MOB-974711,RC_pro,résilié,2026-02-23,2027-09-02,annuel,1691,12,203,site_web
POL0087,CLT022,C003,CMP001,AXA,AXA-347532,RC_pro,actif,2025-07-27,2026-11-08,trimestriel,14494,13,1884,recommandation
POL0088,CLT022,C003,CMP002,Zurich,ZUR-288145,incendie,actif,2026-02-04,2027-08-08,annuel,1605,13,209,recommandation
POL0089,CLT023,C001,CMP002,Zurich,ZUR-831771,vehicule,suspendu,2026-03-12,2028-07-29,trimestriel,17394,9,1565,reseau
POL0090,CLT023,C001,CMP003,Helvetia,HEL-692078,RC_pro,actif,2025-04-30,2028-02-14,annuel,19284,17,3278,site_web
POL0091,CLT023,C001,CMP007,Bâloise,BÂL-383651,incendie,actif,2024-12-06,2027-08-07,semestriel,12030,9,1083,prospection
POL0092,CLT024,C005,CMP005,Generali,GEN-486771,protection_juridique,actif,2024-10-06,2026-03-24,annuel,1841,14,258,recommandation
POL0093,CLT024,C005,CMP004,Allianz,ALL-126453,vie,actif,2025-06-18,2027-01-21,trimestriel,13538,13,1760,prospection
POL0094,CLT024,C005,CMP007,Bâloise,BÂL-860296,cyber,actif,2025-09-09,2028-01-26,annuel,10373,10,1037,site_web
POL0095,CLT024,C005,CMP009,Vaudoise,VAU-288468,accident,actif,2025-03-17,2026-07-29,annuel,24008,17,4081,reseau
POL0096,CLT025,C001,CMP006,Mobilière,MOB-867518,accident,actif,2024-09-15,2026-06-24,trimestriel,14371,14,2012,site_web
POL0097,CLT025,C001,CMP001,AXA,AXA-769406,maladie,suspendu,2025-05-23,2026-07-28,annuel,14455,17,2457,recommandation
POL0098,CLT025,C001,CMP010,Winterthur,WIN-753962,transport,actif,2024-05-28,2027-03-26,annuel,23959,17,4073,recommandation
POL0099,CLT025,C001,CMP003,Helvetia,HEL-936075,vie,actif,2025-01-01,2026-05-20,annuel,24949,17,4241,recommandation
POL0100,CLT025,C001,CMP003,Helvetia,HEL-561039,protection_juridique,résilié,2026-02-04,2027-07-17,semestriel,20562,14,2879,recommandation
POL0101,CLT025,C001,CMP007,Bâloise,BÂL-480566,cyber,résilié,2026-02-25,2027-05-16,semestriel,10674,13,1388,reseau
POL0102,CLT026,C004,CMP009,Vaudoise,VAU-348959,vehicule,résilié,2026-03-09,2027-06-29,annuel,9598,16,1536,recommandation
POL0103,CLT026,C004,CMP010,Winterthur,WIN-424247,cyber,actif,2024-08-14,2025-09-14,semestriel,23528,15,3529,recommandation
POL0104,CLT027,C001,CMP007,Bâloise,BÂL-309262,vie,résilié,2024-12-12,2027-08-03,semestriel,13734,8,1099,reseau
POL0105,CLT027,C001,CMP010,Winterthur,WIN-715966,cyber,actif,2024-05-17,2026-01-30,annuel,13041,8,1043,site_web
POL0106,CLT028,C003,CMP003,Helvetia,HEL-879716,accident,suspendu,2024-12-15,2026-10-29,trimestriel,4515,8,361,recommandation
POL0107,CLT028,C003,CMP007,Bâloise,BÂL-852216,incendie,actif,2025-04-25,2027-12-30,annuel,23664,12,2840,recommandation
POL0108,CLT028,C003,CMP010,Winterthur,WIN-946390,RC_pro,actif,2025-05-27,2028-05-04,semestriel,8676,8,694,reseau
POL0109,CLT028,C003,CMP001,AXA,AXA-101748,vehicule,actif,2024-08-06,2025-11-22,annuel,8546,16,1367,prospection
POL0110,CLT028,C003,CMP005,Generali,GEN-608392,cyber,actif,2025-07-08,2028-06-24,annuel,16961,9,1526,recommandation
POL0111,CLT029,C003,CMP002,Zurich,ZUR-836056,RC_pro,suspendu,2026-01-03,2028-08-21,annuel,8296,11,913,prospection
POL0112,CLT029,C003,CMP002,Zurich,ZUR-993766,protection_juridique,actif,2026-03-08,2027-08-01,annuel,17821,10,1782,prospection
POL0113,CLT030,C002,CMP009,Vaudoise,VAU-794570,vehicule,actif,2024-08-17,2026-05-01,semestriel,15136,12,1816,reseau
POL0114,CLT030,C002,CMP008,Swiss Life,SWI-566329,vie,actif,2025-06-12,2028-03-08,trimestriel,8493,8,679,recommandation
POL0115,CLT031,C002,CMP002,Zurich,ZUR-443689,vie,actif,2024-08-08,2026-04-13,annuel,6676,14,935,site_web
POL0116,CLT031,C002,CMP003,Helvetia,HEL-283947,accident,résilié,2025-06-17,2026-10-24,semestriel,14074,11,1548,reseau
POL0117,CLT031,C002,CMP001,AXA,AXA-211191,protection_juridique,actif,2024-07-08,2026-02-26,semestriel,9425,10,943,prospection
POL0118,CLT032,C003,CMP009,Vaudoise,VAU-503179,protection_juridique,actif,2025-08-16,2027-02-02,semestriel,11755,13,1528,prospection
POL0119,CLT032,C003,CMP005,Generali,GEN-375545,RC_pro,suspendu,2024-07-11,2026-09-05,semestriel,15778,9,1420,site_web
POL0120,CLT032,C003,CMP004,Allianz,ALL-509754,incendie,résilié,2025-04-23,2027-05-13,annuel,12269,18,2208,prospection
POL0121,CLT032,C003,CMP007,Bâloise,BÂL-129819,vehicule,résilié,2025-04-12,2027-03-24,annuel,13414,11,1476,prospection
POL0122,CLT032,C003,CMP002,Zurich,ZUR-969099,vie,actif,2024-12-19,2026-07-30,annuel,24986,14,3498,recommandation
POL0123,CLT032,C003,CMP009,Vaudoise,VAU-967459,cyber,actif,2025-06-20,2027-07-16,annuel,21723,13,2824,recommandation
POL0124,CLT033,C001,CMP003,Helvetia,HEL-897749,transport,suspendu,2025-09-09,2026-11-21,semestriel,13483,10,1348,recommandation
POL0125,CLT033,C001,CMP002,Zurich,ZUR-941048,protection_juridique,résilié,2024-06-11,2026-01-16,annuel,12558,8,1005,recommandation
POL0126,CLT033,C001,CMP001,AXA,AXA-727011,RC_pro,actif,2026-01-21,2028-03-10,annuel,20487,8,1639,reseau
POL0127,CLT034,C001,CMP010,Winterthur,WIN-618545,vehicule,actif,2025-12-10,2027-04-23,annuel,9310,14,1303,reseau
POL0128,CLT034,C001,CMP001,AXA,AXA-960972,vie,résilié,2024-07-02,2026-03-23,annuel,19899,14,2786,site_web
POL0129,CLT034,C001,CMP006,Mobilière,MOB-144294,transport,résilié,2025-12-14,2028-09-17,trimestriel,4316,18,777,reseau
POL0130,CLT034,C001,CMP009,Vaudoise,VAU-678361,accident,actif,2024-10-13,2025-12-22,annuel,13003,13,1690,site_web
POL0131,CLT034,C001,CMP007,Bâloise,BÂL-768176,incendie,actif,2025-11-26,2026-12-29,semestriel,18560,8,1485,reseau
POL0132,CLT034,C001,CMP010,Winterthur,WIN-109799,protection_juridique,suspendu,2025-02-19,2026-11-14,trimestriel,23359,9,2102,site_web
POL0133,CLT035,C004,CMP001,AXA,AXA-385771,RC_pro,actif,2025-03-24,2027-07-11,annuel,11575,18,2084,site_web
POL0134,CLT035,C004,CMP006,Mobilière,MOB-265949,incendie,actif,2024-11-29,2026-06-27,annuel,24906,10,2491,recommandation
POL0135,CLT035,C004,CMP002,Zurich,ZUR-137333,vehicule,actif,2024-08-18,2026-01-30,annuel,18756,16,3001,prospection
POL0136,CLT035,C004,CMP005,Generali,GEN-584607,protection_juridique,actif,2025-01-02,2027-07-21,trimestriel,17485,16,2798,site_web
POL0137,CLT035,C004,CMP004,Allianz,ALL-430160,transport,actif,2024-10-15,2027-06-23,semestriel,4492,16,719,prospection
POL0138,CLT035,C004,CMP005,Generali,GEN-533362,vie,résilié,2025-03-24,2027-06-30,trimestriel,24571,12,2949,site_web
POL0139,CLT036,C003,CMP006,Mobilière,MOB-165650,RC_pro,actif,2025-09-22,2027-11-21,annuel,18774,11,2065,site_web
POL0140,CLT036,C003,CMP007,Bâloise,BÂL-850575,maladie,actif,2024-12-08,2026-11-06,annuel,19831,13,2578,prospection
POL0141,CLT037,C004,CMP003,Helvetia,HEL-516497,protection_juridique,résilié,2025-07-27,2028-03-30,annuel,2249,10,225,prospection
POL0142,CLT037,C004,CMP005,Generali,GEN-520923,transport,actif,2024-08-19,2026-06-23,semestriel,20234,8,1619,prospection
POL0143,CLT038,C003,CMP001,AXA,AXA-559050,maladie,actif,2026-01-15,2027-05-26,semestriel,8552,9,770,site_web
POL0144,CLT038,C003,CMP006,Mobilière,MOB-909329,incendie,actif,2025-10-18,2026-10-22,annuel,14486,16,2318,prospection
POL0145,CLT038,C003,CMP008,Swiss Life,SWI-796307,accident,actif,2025-08-05,2026-11-07,annuel,19876,8,1590,reseau
POL0146,CLT038,C003,CMP002,Zurich,ZUR-883354,vehicule,actif,2025-10-03,2028-05-08,semestriel,17867,16,2859,recommandation
POL0147,CLT038,C003,CMP009,Vaudoise,VAU-808184,protection_juridique,actif,2025-09-22,2028-06-19,annuel,2829,8,226,prospection
POL0148,CLT038,C003,CMP010,Winterthur,WIN-268696,cyber,résilié,2025-02-15,2027-07-08,annuel,6607,18,1189,reseau
POL0149,CLT039,C005,CMP002,Zurich,ZUR-160741,RC_pro,actif,2024-11-08,2026-10-27,semestriel,21695,15,3254,recommandation
POL0150,CLT039,C005,CMP003,Helvetia,HEL-580001,incendie,actif,2025-02-26,2027-09-06,annuel,4751,13,618,reseau
POL0151,CLT040,C002,CMP004,Allianz,ALL-612951,incendie,actif,2024-11-25,2026-03-05,annuel,1930,11,212,site_web
POL0152,CLT040,C002,CMP010,Winterthur,WIN-542716,vehicule,actif,2024-11-12,2027-06-26,trimestriel,15385,9,1385,site_web
POL0153,CLT041,C004,CMP010,Winterthur,WIN-263586,vie,suspendu,2026-01-01,2027-01-18,annuel,11435,10,1144,prospection
POL0154,CLT041,C004,CMP005,Generali,GEN-774053,RC_pro,actif,2025-10-03,2028-03-28,annuel,9919,16,1587,reseau
POL0155,CLT041,C004,CMP001,AXA,AXA-962715,protection_juridique,actif,2026-03-24,2027-05-25,semestriel,12619,11,1388,site_web
POL0156,CLT041,C004,CMP009,Vaudoise,VAU-174033,cyber,actif,2025-08-16,2027-04-19,trimestriel,20801,8,1664,prospection
POL0157,CLT041,C004,CMP010,Winterthur,WIN-309808,transport,actif,2024-12-01,2027-08-29,annuel,24925,15,3739,prospection
POL0158,CLT041,C004,CMP002,Zurich,ZUR-783990,vehicule,actif,2025-03-20,2028-03-03,trimestriel,11050,17,1879,reseau
POL0159,CLT042,C002,CMP004,Allianz,ALL-854359,protection_juridique,actif,2024-08-09,2026-02-18,annuel,9743,9,877,prospection
POL0160,CLT042,C002,CMP009,Vaudoise,VAU-995992,RC_pro,résilié,2025-01-17,2026-06-06,semestriel,8040,17,1367,prospection
POL0161,CLT043,C003,CMP004,Allianz,ALL-255068,cyber,résilié,2025-08-15,2026-10-16,annuel,12009,9,1081,site_web
POL0162,CLT043,C003,CMP002,Zurich,ZUR-572252,protection_juridique,actif,2025-10-07,2028-08-08,semestriel,16047,13,2086,recommandation
POL0163,CLT044,C004,CMP006,Mobilière,MOB-893253,protection_juridique,actif,2024-10-24,2027-03-07,annuel,20990,8,1679,reseau
POL0164,CLT044,C004,CMP004,Allianz,ALL-229790,accident,résilié,2025-08-19,2028-04-20,annuel,15820,13,2057,recommandation
POL0165,CLT045,C003,CMP010,Winterthur,WIN-496066,RC_pro,actif,2025-11-05,2028-04-05,semestriel,24739,15,3711,prospection
POL0166,CLT045,C003,CMP008,Swiss Life,SWI-464200,protection_juridique,actif,2026-02-07,2027-08-01,trimestriel,11280,18,2030,prospection
POL0167,CLT045,C003,CMP007,Bâloise,BÂL-644849,vie,résilié,2025-10-17,2028-04-26,annuel,5238,14,733,prospection
POL0168,CLT046,C003,CMP006,Mobilière,MOB-621966,accident,actif,2025-05-20,2027-10-13,trimestriel,8081,9,727,site_web
POL0169,CLT046,C003,CMP009,Vaudoise,VAU-602810,RC_pro,actif,2024-06-03,2026-07-02,semestriel,15667,11,1723,recommandation
POL0170,CLT046,C003,CMP007,Bâloise,BÂL-622634,transport,actif,2024-10-01,2027-07-15,annuel,2463,8,197,reseau
POL0171,CLT046,C003,CMP004,Allianz,ALL-150274,incendie,suspendu,2025-08-09,2027-06-18,semestriel,16174,16,2588,prospection
POL0172,CLT046,C003,CMP005,Generali,GEN-112219,protection_juridique,actif,2025-10-28,2028-02-27,annuel,13275,12,1593,recommandation
POL0173,CLT047,C002,CMP009,Vaudoise,VAU-261986,maladie,actif,2025-07-29,2027-05-09,annuel,21800,18,3924,reseau
POL0174,CLT047,C002,CMP003,Helvetia,HEL-178549,incendie,suspendu,2024-12-26,2026-06-03,trimestriel,23551,8,1884,prospection
POL0175,CLT047,C002,CMP007,Bâloise,BÂL-470082,RC_pro,résilié,2025-05-31,2028-01-15,trimestriel,16310,17,2773,recommandation
POL0176,CLT047,C002,CMP006,Mobilière,MOB-191895,vie,actif,2025-10-14,2028-01-14,annuel,20032,14,2804,prospection
POL0177,CLT047,C002,CMP002,Zurich,ZUR-637874,cyber,actif,2026-02-08,2028-07-20,trimestriel,21490,11,2364,recommandation
POL0178,CLT048,C005,CMP008,Swiss Life,SWI-146752,protection_juridique,actif,2024-09-29,2025-11-30,trimestriel,22070,13,2869,prospection
POL0179,CLT048,C005,CMP001,AXA,AXA-466791,maladie,suspendu,2025-05-24,2026-08-27,annuel,22625,9,2036,recommandation
POL0180,CLT048,C005,CMP010,Winterthur,WIN-648321,vie,actif,2024-10-04,2027-01-01,annuel,14657,18,2638,site_web
POL0181,CLT048,C005,CMP006,Mobilière,MOB-556392,vehicule,actif,2024-10-26,2026-02-24,annuel,18822,13,2447,prospection
POL0182,CLT049,C005,CMP010,Winterthur,WIN-389555,vie,résilié,2025-04-30,2027-01-14,semestriel,24482,10,2448,site_web
POL0183,CLT049,C005,CMP003,Helvetia,HEL-235935,vehicule,résilié,2024-06-29,2026-04-23,semestriel,11378,16,1820,recommandation
POL0184,CLT050,C001,CMP010,Winterthur,WIN-479257,vie,résilié,2024-05-31,2025-09-28,trimestriel,18696,12,2244,prospection
POL0185,CLT050,C001,CMP002,Zurich,ZUR-316824,transport,actif,2025-06-13,2028-01-31,annuel,16445,18,2960,site_web
POL0186,CLT050,C001,CMP005,Generali,GEN-627135,maladie,actif,2025-10-08,2028-09-26,annuel,11284,12,1354,reseau
POL0187,CLT050,C001,CMP005,Generali,GEN-420263,vehicule,suspendu,2024-12-12,2027-11-04,annuel,14133,18,2544,prospection
POL0188,CLT050,C001,CMP004,Allianz,ALL-413559,protection_juridique,actif,2025-11-07,2028-08-16,annuel,5975,18,1076,site_web
POL0189,CLT050,C001,CMP005,Generali,GEN-979136,incendie,actif,2025-06-28,2028-06-02,trimestriel,19442,9,1750,recommandation
