id,contrat_id,client_id,courtier_id,numero_sinistre,branche,date_survenance,date_declaration,nature,montant_estime,montant_indemnise,statut,date_cloture,gestionnaire_id
SIN015,POL0149,CLT039,C005,SIN-261423,RC_pro,2026-01-16,2026-01-25,Responsabilité civile,80999,0,refusé,,C001
SIN016,POL0046,CLT012,C005,SIN-785885,incendie,2025-06-14,2025-06-18,Vol,92811,17951,clôturé,2025-12-09,C005
SIN017,POL0059,CLT015,C004,SIN-805006,vie,2025-03-12,2025-03-16,Cyber attaque,57375,0,en_cours,,C005
SIN018,POL0096,CLT025,C001,SIN-621124,accident,2025-10-02,2025-10-06,Cyber attaque,82027,103850,clôturé,2025-11-27,C002
SIN019,POL0113,CLT030,C002,SIN-671940,vehicule,2024-10-01,2024-10-07,Responsabilité civile,23904,0,en_cours,,C004
SIN020,POL0136,CLT035,C004,SIN-674405,protection_juridique,2024-12-06,2024-12-16,Accident,53118,21815,clôturé,2025-04-19,C003
SIN021,POL0024,CLT007,C005,SIN-475485,vehicule,2024-10-10,2024-10-17,Bris de machine,90433,0,en_cours,,C002
SIN022,POL0084,CLT020,C003,SIN-410820,RC_pro,2025-04-09,2025-04-14,Bris de machine,77313,56610,clôturé,2025-10-06,C005
SIN023,POL0123,CLT032,C003,SIN-965667,cyber,2024-09-25,2024-09-26,Cyber attaque,3644,0,en_cours,,C004
SIN024,POL0113,CLT030,C002,SIN-572000,vehicule,2025-01-18,2025-01-25,Responsabilité civile,142265,0,en_cours,,C005
SIN025,POL0078,CLT019,C003,SIN-660687,protection_juridique,2025-06-24,2025-06-25,Accident,26477,71584,clôturé,2025-11-08,C003
SIN026,POL0146,CLT038,C003,SIN-607710,vehicule,2024-12-19,2024-12-25,Dégât des eaux,91177,0,ouvert,,C001
SIN027,POL0166,CLT045,C003,SIN-581369,protection_juridique,2025-12-06,2025-12-12,Cyber attaque,12824,0,en_cours,,C001
SIN028,POL0019,CLT006,C001,SIN-307836,protection_juridique,2026-01-07,2026-01-16,Vol,67811,0,ouvert,,C003
SIN029,POL0098,CLT025,C001,SIN-705506,transport,2024-11-30,2024-12-05,Incendie,102315,0,en_cours,,C001
SIN030,POL0012,CLT004,C005,SIN-305407,accident,2025-06-23,2025-07-01,Accident,38025,93514,clôturé,2025-09-20,C001
SIN031,POL0093,CLT024,C005,SIN-912898,vie,2025-02-17,2025-02-18,Dégât des eaux,143381,0,en_cours,,C003
SIN032,POL0042,CLT011,C005,SIN-385310,protection_juridique,2026-04-20,2026-04-29,Dégât des eaux,6737,0,en_cours,,C004
SIN033,POL0041,CLT011,C005,SIN-388841,maladie,2025-09-14,2025-09-16,Bris de machine,33561,0,refusé,,C001
SIN034,POL0024,CLT007,C005,SIN-525963,vehicule,2025-09-14,2025-09-19,Vol,116934,0,refusé,,C004
SIN035,POL0079,CLT019,C003,SIN-119040,cyber,2026-03-10,2026-03-14,Incendie,94438,0,refusé,,C003
SIN036,POL0145,CLT038,C003,SIN-349715,accident,2026-02-24,2026-03-02,Accident,109188,0,refusé,,C003
SIN037,POL0114,CLT030,C002,SIN-807250,vie,2025-04-15,2025-04-24,Cyber attaque,100346,59433,clôturé,2025-05-20,C002
SIN038,POL0026,CLT007,C005,SIN-385387,accident,2026-04-05,2026-04-14,Responsabilité civile,73130,0,en_cours,,C002
SIN039,POL0090,CLT023,C001,SIN-887637,RC_pro,2025-01-03,2025-01-05,Responsabilité civile,101631,0,refusé,,C001
SIN040,POL0140,CLT036,C003,SIN-360789,maladie,2025-08-17,2025-08-22,Cyber attaque,51445,0,en_cours,,C004
SIN041,POL0127,CLT034,C001,SIN-179818,vehicule,2026-01-04,2026-01-12,Bris de machine,30307,78242,clôturé,2026-04-02,C005
SIN042,POL0042,CLT011,C005,SIN-379487,protection_juridique,2026-03-16,2026-03-21,Vol,16426,0,en_cours,,C003
SIN043,POL0043,CLT011,C005,SIN-646090,vie,2025-11-13,2025-11-16,Vol,45768,0,refusé,,C002
SIN044,POL0046,CLT012,C005,SIN-241264,incendie,2025-03-30,2025-04-05,Cyber attaque,17107,0,refusé,,C001
SIN045,POL0038,CLT010,C001,SIN-929618,maladie,2025-09-14,2025-09-19,Bris de machine,109156,51303,clôturé,2025-12-23,C003
